"COUNTRY","YEAR","VACCINECODE","AGEGROUP","DOSES"
"MDG",2019,"DTPCV3","NOT_COLLECTED","856413"
"BWA",2017,"MCV1","NOT_COLLECTED","46461"
"NZL",2017,"DTPCV3","NOT_COLLECTED","57256"
"DNK",2018,"MCV1","NOT_COLLECTED","59264"
"GBR",2017,"DTPCV3","NOT_COLLECTED","731741"
"TUN",2017,"DTPCV3","NOT_COLLECTED","199920"
"DOM",2018,"DTPCV3","GTEQ_24_MONTHS","730"
"TJK",2018,"MCV1","NOT_COLLECTED","233951"
"IRN",2017,"MCV1","NOT_COLLECTED","1516612"
"OMN",2017,"DTPCV3","NOT_COLLECTED","91013"
"MEX",2019,"DTPCV3","12_TO_23_MONTHS",NA
"JOR",2019,"MCV1","NOT_COLLECTED","178913"
"TKL",2019,"MCV1","NOT_COLLECTED","54"
"GMB",2018,"MCV1","NOT_COLLECTED","74547"
"MNG",2018,"DTPCV3","NOT_COLLECTED","72965"
"CYM",2017,"MCV1","NOT_COLLECTED","632"
"PAN",2018,"DTPCV3","GTEQ_24_MONTHS","1827"
"GHA",2017,"MCV1","NOT_COLLECTED","1040141"
"COD",2018,"DTPCV3","NOT_COLLECTED","3412759"
"VGB",2018,"DTPCV3","NOT_COLLECTED","284"
"PER",2019,"DTPCV3","12_TO_23_MONTHS","18319"
"IRQ",2018,"DTPCV3","NOT_COLLECTED","937015"
"HTI",2017,"DTPCV3","NOT_COLLECTED","216626"
"GRC",2017,"DTPCV3","NOT_COLLECTED",NA
"SAU",2018,"MCV1","NOT_COLLECTED","541853"
"LTU",2017,"MCV1","NOT_COLLECTED","27709"
"COK",2019,"DTPCV3","NOT_COLLECTED","214"
"VUT",2019,"MCV1","NOT_COLLECTED","6611"
"DMA",2019,"MCV1","NOT_COLLECTED","647"
"GRD",2018,"DTPCV3","GTEQ_24_MONTHS","4"
"LBR",2017,"DTPCV3","NOT_COLLECTED","164390"
"AIA",2019,"DTPCV3","NOT_COLLECTED","121"
"NER",2017,"MCV1","NOT_COLLECTED","967707"
"COL",2018,"MCV1","GTEQ_24_MONTHS","7061"
"SXM",2018,"DTPCV3","GTEQ_24_MONTHS","92"
"IDN",2019,"MCV1","NOT_COLLECTED","4448141"
"MNP",2017,"MCV1","NOT_COLLECTED","1207"
"NIC",2019,"MCV1","GTEQ_24_MONTHS","3005"
"LCA",2017,"DTPCV3","NOT_COLLECTED","1622"
"CPV",2018,"DTPCV3","NOT_COLLECTED","10236"
"GTM",2017,"DTPCV3","NOT_COLLECTED","347541"
"ARG",2019,"MCV1","GTEQ_24_MONTHS","63537"
"BWA",2017,"DTPCV3","NOT_COLLECTED","46114"
"TZA",2019,"MCV1","NOT_COLLECTED","2104972"
"COD",2017,"DTPCV3","NOT_COLLECTED","3313773"
"NGA",2018,"MCV1","NOT_COLLECTED","6599293"
"TKM",2018,"DTPCV3","NOT_COLLECTED",NA
"CRI",2018,"MCV1","GTEQ_24_MONTHS",NA
"JPN",2017,"DTPCV3","NOT_COLLECTED","1000372"
"ECU",2019,"DTPCV3","GTEQ_24_MONTHS",NA
"HKG",2017,"DTPCV3","NOT_COLLECTED",NA
"BGD",2017,"DTPCV3","NOT_COLLECTED","3694737"
"GBR",2018,"MCV1","NOT_COLLECTED","721207"
"MNE",2017,"DTPCV3","NOT_COLLECTED","6679"
"MSR",2017,"DTPCV3","NOT_COLLECTED","50"
"CAF",2018,"DTPCV3","NOT_COLLECTED","118376"
"IDN",2018,"DTPCV3","NOT_COLLECTED","4372606"
"GUY",2019,"MCV1","NOT_COLLECTED","15048"
"SOM",2017,"DTPCV3","NOT_COLLECTED","327981"
