"COUNTRY","CYEAR","ON_TIME","GTEQ_24_MONTHS","12_TO_23_MONTHS","24_TO_36_MONTHS","TARGETNUMBER","DELAYED","TOT","COV_ON_TIME","COV_TOT","COV_DELAYED","DIF_COV"
"ABW",2017,1206,0,0,0,1248,0,1206,96.6346153846154,96.6346153846154,0,0
"ABW",2018,1182,0,0,0,1242,0,1182,95.1690821256039,95.1690821256039,0,0
"ABW",2020,1115,77,0,0,1188,77,1192,93.8552188552189,100.3367003367,6.48148148148148,6.4814814814815
"ABW",2021,936,0,0,0,1022,0,936,91.5851272015656,91.5851272015656,0,0
"AGO",2018,808579,0,201839,0,1023479,201839,1010418,79.0029888253692,98.7238624339141,19.720873608545,19.720873608545
"AGO",2019,845679,0,39171,0,1060045,39171,884850,79.7776509487805,83.4728714347033,3.69522048592277,3.69522048592277
"AGO",2020,794837,0,76617,0,1089677,76617,871454,72.9424407416143,79.973606857812,7.03116611619774,7.03116611619774
"AGO",2021,719920,0,102195,0,1110425,102195,822115,64.8328342751649,74.0360672715402,9.20323299637526,9.20323299637526
"AGO",2022,745732,0,0,0,1132069,0,745732,65.8733699094313,65.8733699094313,0,0
"AIA",2017,137,14,0,0,169,14,151,81.0650887573965,89.3491124260355,8.28402366863905,8.28402366863905
"AIA",2018,133,8,0,0,152,8,141,87.5,92.7631578947368,5.26315789473684,5.26315789473685
"AIA",2019,137,17,0,17,171,17,154,80.1169590643275,90.0584795321637,9.94152046783626,9.94152046783626
"AIA",2020,128,17,0,17,156,17,145,82.051282051282,92.948717948718,10.8974358974359,10.8974358974359
"AIA",2021,124,0,0,0,145,0,124,85.5172413793103,85.5172413793103,0,0
"ALB",2017,27677,4320,0,0,29425,4320,31997,94.0594732370433,108.740866610025,14.6813933729822,14.6813933729822
"ALB",2018,26655,6432,0,0,28064,6432,33087,94.9793329532497,117.898375142531,22.9190421892816,22.9190421892816
"ALB",2019,25554,6432,0,0,28075,6432,31986,91.0204808548531,113.93054318789,22.9100623330365,22.9100623330365
"ALB",2020,23160,6432,0,0,26739,6432,29592,86.615056658813,110.669808145406,24.0547514865926,24.0547514865926
"ALB",2021,22430,0,0,0,26167,0,22430,85.7186532655635,85.7186532655635,0,0
"ARE",2017,53193,0,0,0,53193,0,53193,100,100,0,0
"ARE",2018,81769,0,0,0,81769,0,81769,100,100,0,0
"ARE",2019,79498,0,0,0,79876,0,79498,99.5267664880565,99.5267664880565,0,0
"ARE",2020,75373,0,0,0,75862,0,75373,99.3554085049168,99.3554085049168,0,0
"ARE",2021,81229,0,0,0,83037,0,81229,97.8226573696063,97.8226573696063,0,0
"ARG",2017,657230,63537,0,0,696196,63537,720767,94.4030129446305,103.529322202368,9.12630925773776,9.12630925773777
"ARG",2018,620259,39448,0,39448,720263,39448,659707,86.1156272083947,91.592515511695,5.47688830330032,5.47688830330033
"ARG",2019,512597,13469,0,13469,662753,13469,526066,77.3435955778397,79.3758760805308,2.03228050269105,2.03228050269105
"ARG",2020,484718,118354,0,118354,560851,118354,603072,86.4254498966749,107.528024377241,21.1025744805661,21.1025744805661
"ARG",2021,460509,0,0,0,544299,0,460509,84.605887572823,84.605887572823,0,0
"ARM",2017,35461,7932,0,0,37216,7932,43393,95.2842863284609,116.597699914015,21.3134135855546,21.3134135855546
"ARM",2018,32911,5606,0,0,34539,5606,38517,95.2864877384985,111.517415095978,16.2309273574799,16.2309273574799
"ARM",2019,31733,4934,31733,0,33600,36667,68400,94.4434523809524,203.571428571429,109.127976190476,109.127976190476
"ARM",2020,30868,4073,30868,0,32764,34941,65809,94.2131607862288,200.85764863875,106.644487852521,106.644487852521
"ARM",2021,31058,0,31058,0,32814,31058,62116,94.6486255866398,189.29725117328,94.6486255866398,94.6486255866398
"ATG",2017,1013,32,0,0,1053,32,1045,96.2013295346629,99.2402659069326,3.03893637226971,3.0389363722697
"ATG",2018,935,0,0,0,962,0,935,97.1933471933472,97.1933471933472,0,0
"ATG",2019,987,0,0,0,1109,0,987,88.9990982867448,88.9990982867448,0,0
"ATG",2020,887,0,0,0,1046,0,887,84.7992351816444,84.7992351816444,0,0
"ATG",2021,984,0,0,0,984,0,984,100,100,0,0
"AUS",2020,276880,0,0,0,298575,0,276880,92.7338189734573,92.7338189734573,0,0
"AUS",2021,286161,0,0,0,298058,0,286161,96.0084949909078,96.0084949909078,0,0
"AZE",2017,131813,0,0,0,137287,0,131813,96.0127324509968,96.0127324509968,0,0
"AZE",2018,131701,3700,0,0,135027,3700,135401,97.5367889385086,100.276981640709,2.7401927022003,2.74019270220029
